case_number,court,year,month,pdf_url,judges
OA_3691_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_3691_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_3952_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_3952_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_36_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_36_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_53_of_2010,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_53_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_74_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_74_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_108_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_108_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_116_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_116_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_119_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_119_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_154_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_154_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_236_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_236_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1283_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_1283_of_2013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA_2739_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_2739_of_2013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA_4448_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_4448_of_2013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_23_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_23_of_2013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_38_of_2012,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_38_of_2012.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_40_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_40_of_2013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_65_of_2011,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_65_of_2011.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_143_of_2012,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_143_of_2012.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
TA_304_of_2011,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_304_of_2011.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA 558 of 2014,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%20558%20of%202014.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA 788 of 2014,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%20788%20of%202014.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA 1642 of 2013,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%201642%20of%202013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
OA 4586 of 2013,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%204586%20of%202013.pdf,"(""Hon'ble Mr. Justice Surinder Singh Thakur (Member)"", ""Hon'ble Lt. Gen.(Retd) DS Sidhu (Administrative Member)"")"
